paper,metric,midpoint,lower_bound,upper_bound
Adena and Hager 2024,overall,87.0,87.0,87.0
Adena and Hager 2024,claims_evidence,83.0,83.0,83.0
Adena and Hager 2024,methods,85.0,85.0,85.0
Adena and Hager 2024,advancing_knowledge,79.0,79.0,79.0
Adena and Hager 2024,logic_communication,90.0,90.0,90.0
Adena and Hager 2024,open_science,55.0,55.0,55.0
Adena and Hager 2024,global_relevance,78.0,78.0,78.0
Green et al. 2025,overall,82.0,82.0,82.0
Green et al. 2025,claims_evidence,78.0,78.0,78.0
Green et al. 2025,methods,74.0,74.0,74.0
Green et al. 2025,advancing_knowledge,80.0,80.0,80.0
Green et al. 2025,logic_communication,86.0,86.0,86.0
Green et al. 2025,open_science,92.0,92.0,92.0
Green et al. 2025,global_relevance,85.0,85.0,85.0
Kudymowa et al. 2023,overall,72.0,72.0,72.0
Kudymowa et al. 2023,claims_evidence,73.0,73.0,73.0
Kudymowa et al. 2023,methods,66.0,66.0,66.0
Kudymowa et al. 2023,advancing_knowledge,64.0,64.0,64.0
Kudymowa et al. 2023,logic_communication,78.0,78.0,78.0
Kudymowa et al. 2023,open_science,64.0,64.0,64.0
Kudymowa et al. 2023,global_relevance,82.0,82.0,82.0
Peterman et al. 2025,overall,86.0,86.0,86.0
Peterman et al. 2025,claims_evidence,84.0,84.0,84.0
Peterman et al. 2025,methods,82.0,82.0,82.0
Peterman et al. 2025,advancing_knowledge,86.0,86.0,86.0
Peterman et al. 2025,logic_communication,80.0,80.0,80.0
Peterman et al. 2025,open_science,76.0,76.0,76.0
Peterman et al. 2025,global_relevance,92.0,92.0,92.0
Williams et al. 2024,overall,86.0,86.0,86.0
Williams et al. 2024,claims_evidence,78.0,78.0,78.0
Williams et al. 2024,methods,74.0,74.0,74.0
Williams et al. 2024,advancing_knowledge,92.0,92.0,92.0
Williams et al. 2024,logic_communication,84.0,84.0,84.0
Williams et al. 2024,open_science,63.0,63.0,63.0
Williams et al. 2024,global_relevance,94.0,94.0,94.0
